"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.917440609E0,1.389862061E0,-3.099920034E0,1.570610285E0
1.927449042E0,-1.751161575E0,-3.102380037E0,-6.802941561E-1
1.937458008E0,2.685644150E0,-1.524736881E0,1.952549815E0
1.947488141E0,1.700938225E0,-2.754765511E0,-3.070006609E0
1.957517274E0,-1.055170059E0,-4.104069233E0,-6.678852558E0
1.967546440E0,-3.915680885E0,-3.737244129E0,-5.408926487E0
1.977576606E0,3.947291374E0,-9.188932180E-1,-9.627243996E0
1.987606872E0,4.245063782E0,-9.061646461E-2,-7.567969322E0
1.997636738E0,4.150885582E0,5.864703655E-1,-8.391592979E0
2.007666671E0,4.743673325E0,1.957600594E0,-7.059194088E0
2.017697104E0,3.889966011E0,2.091981888E0,-5.295361519E0
2.027727637E0,4.072841644E0,2.020429373E0,-5.174994946E0
2.037757170E0,3.870286942E0,1.325662613E0,-5.325453281E0
2.047786870E0,3.214542389E0,-1.510152817E-1,4.331300855E-1
2.057817836E0,1.949945450E0,-2.739513874E0,3.737323284E0
2.067848869E0,1.042266846E0,-4.839457512E0,6.480497837E0
2.077879469E0,9.868917465E-1,-5.968957424E0,5.259418011E0
2.087910069E0,4.825277328E0,-6.509115219E0,1.633675694E0
2.097940802E0,4.100386620E0,-5.388068199E0,-5.094937801E0
2.107971302E0,2.952304840E0,-3.395308733E0,-8.714908600E0
2.118000735E0,1.830544472E0,-2.010975838E0,-1.611111879E0
2.128030035E0,2.196627617E0,-3.247349262E0,2.751224518E0
2.138060468E0,7.278270721E-1,-5.817269325E0,3.043950558E0
2.148091001E0,-1.688593864E0,-7.015837193E0,2.516030312E0
2.158121101E0,-4.055352211E0,-7.165276527E0,2.581805706E0
2.168151301E0,-4.797287941E0,-6.920263290E0,3.220205307E0
2.178181834E0,-4.580825329E0,-5.750864983E0,3.718487740E0
2.188212534E0,-4.320172310E0,-3.844796658E0,4.042347431E0
2.198242400E0,-3.001190662E0,-2.587255955E0,4.075897217E0
2.208272500E0,-1.609322548E0,-1.878074527E0,4.198699474E0
2.218303633E0,-8.090848923E-1,-1.313428879E0,4.321571350E0
2.228334899E0,-2.333250046E-1,-5.173676014E-1,3.867869139E0
2.238365565E0,1.040084839E0,-4.347270727E-1,2.647358894E0
2.248375131E0,5.964889526E-1,-1.055998206E0,2.504230499E0
2.258384964E0,2.009265900E0,-8.610337377E-1,2.440641880E0
2.268394964E0,2.732851982E0,-9.716145992E-1,1.728106856E0
2.278403964E0,2.157835007E0,-8.397369385E-1,1.392161846E-1
2.288413097E0,1.605248451E0,-9.953738451E-1,-1.368465781E0
2.298423363E0,4.152717590E-1,-1.926746368E0,-2.282321930E0
2.308433696E0,-1.565203190E0,-3.458865643E0,-2.944253922E0
2.318443696E0,-2.626540661E0,-4.674227238E0,-2.882103920E0
2.328453929E0,-2.576823711E0,-4.591129303E0,-3.021472216E0
2.338464529E0,-4.074234962E0,-5.178670883E0,-3.209197044E0
2.348475195E0,-3.223686218E0,-5.034548759E0,-2.151099205E0
2.358484861E0,-3.038905144E0,-4.350888252E0,-1.621844292E0
2.368494561E0,-2.650324345E0,-3.102684498E0,-9.232506752E-1
2.378505461E0,-3.416182518E0,-2.825730801E0,-8.560085297E-2
2.388516394E0,-3.942945480E0,-3.390437841E0,1.573890209E0
2.398527127E0,-4.191840649E0,-2.945107460E0,2.404758215E0
2.408537993E0,-3.723743439E0,-1.763449311E0,-3.961443901E-1
2.418549326E0,-3.233247757E0,2.963896990E-1,-1.970372438E0
2.428560859E0,-2.022740841E0,1.251119256E0,-1.855736971E0
2.438571459E0,-1.000552654E0,1.396938920E0,-4.372503757E-1
2.448582192E0,1.405591965E-1,2.599032640E0,4.117751122E-1
2.458594392E0,7.196273804E-1,3.234942436E0,-2.716613770E0
2.468606825E0,6.950912476E-1,3.695409536E0,-3.412948132E0
2.478619091E0,1.347595215E0,4.380994320E0,-3.214735746E0
2.488631324E0,1.803264141E0,4.682408810E0,-3.042295456E0
2.498643990E0,1.689748287E0,4.050755978E0,-2.600913525E0
2.508656623E0,1.781942844E0,3.430279016E0,-2.749851227E0
2.518668289E0,2.643835545E0,3.251599789E0,-2.420051813E0
2.528680089E0,3.298583508E0,3.124617577E0,-2.010021925E0
2.538692855E0,3.873171329E0,3.671968699E0,-1.597643614E0
2.548705488E0,4.054109097E0,4.145285606E0,-1.945221186E0
2.558717721E0,4.078371048E0,4.020455837E0,-2.435833693E0
2.568729787E0,4.472280025E0,4.283148766E0,-2.245978832E0
2.578742287E0,5.312977314E0,5.136929512E0,-8.482148647E-1
2.588754853E0,6.053953648E0,5.378326893E0,5.547122955E-1
2.598766553E0,5.370349884E0,3.598498821E0,4.922056198E-1
2.608778319E0,3.480426311E0,2.285866737E-1,-4.901676178E-1
2.618791119E0,1.951581955E0,-2.814587831E0,4.151129723E-1
2.628803652E0,-2.869057655E-1,-5.833462715E0,9.705204964E-1
2.638815685E0,-7.944836617E-1,-5.963035583E0,3.267960548E-1
2.648827718E0,-8.306255341E-1,-4.427266598E0,-4.728369713E-1
2.658839951E0,7.627334595E-1,-2.048616648E0,-1.220536470E0
2.668852151E0,2.130497932E0,9.312963486E-2,-1.908281684E0
2.678863384E0,3.499125481E0,1.674194694E0,-4.558198452E-1
2.688874750E0,3.796545029E0,9.918932915E-1,-2.257908821E0
2.698887183E0,6.094372749E0,-1.277279854E-2,-3.204214811E0
2.708899716E0,8.261357307E0,9.989274740E-1,3.324105978E0
2.718912016E0,4.686437607E0,-4.018477440E0,2.478657007E0
2.728924349E0,3.947884560E0,-5.677805424E0,1.367503405E0
2.738937082E0,3.359626770E0,-4.015470982E0,8.393552303E-1
2.748949615E0,2.435789108E0,-3.374933243E0,-2.533750534E-1
2.758960681E0,1.294199944E0,-2.547438860E0,8.602190018E-2
2.768971414E0,1.203205109E0,-2.581322432E0,3.188571930E-1
2.778982980E0,9.305372238E-1,-2.641432762E0,3.869436979E-1
2.788994346E0,5.997295380E-1,-3.856024504E0,-1.140892506E-1
2.799005279E0,7.359418869E-1,-5.743332863E0,-1.831202507E-1
2.809016145E0,-2.038497925E-1,-8.122617722E0,-1.335409880E-1
2.819027378E0,1.752738953E-1,-8.546413422E0,-5.126099586E-1
2.829038611E0,2.138862610E-1,-7.361036777E0,1.899731755E-1
2.839048877E0,2.736339569E-1,-5.791513920E0,-4.489975572E-1
2.849059277E0,2.674016953E-1,-6.003795624E0,-2.007534504E-1
2.859070843E0,9.109392166E-1,-3.440582752E0,-5.760422349E-1
2.869082443E0,7.344503403E-1,-3.373939037E0,3.037514687E-1
2.879093809E0,1.302377701E0,-3.222791195E0,8.456699252E-1
2.889106075E0,1.049232483E0,-2.725642443E0,1.615725517E0
2.899118941E0,1.843642235E0,-2.986823797E0,2.980304241E0
2.909131907E0,1.533738136E0,-4.126801968E0,3.884219885E0
2.919143840E0,7.509784698E-1,-4.869828224E0,4.392919540E0
2.929156073E0,1.266984940E-1,-5.600852013E0,4.245981216E0
2.939169639E0,-9.468851089E-1,-6.344996929E0,4.075108528E0
2.949183272E0,-1.818261147E0,-6.682831287E0,3.734511614E0
2.959196805E0,-2.217826366E0,-6.471075535E0,3.104269028E0
2.969210738E0,-2.673674583E0,-5.462356567E0,1.667558551E0
2.979225338E0,-2.324055672E0,-4.270585060E0,3.953554630E-1
2.989240304E0,-2.831164360E0,-3.909949303E0,8.863912225E-1
2.999254504E0,-3.110700130E0,-3.945030212E0,1.461772323E-1
3.009268904E0,-3.418946266E0,-3.922960043E0,-1.934136152E-1
3.019284504E0,-4.259135246E0,-4.117516994E0,-8.165246248E-2
3.029300370E0,-4.963624954E0,-4.262526989E0,2.628659606E-1
3.039316070E0,-5.159317017E0,-3.862968445E0,8.451247215E-2
3.049331936E0,-5.412060261E0,-4.488888741E0,2.339667082E-2
3.059348336E0,-5.209294319E0,-4.330990791E0,5.679326057E-1
3.069364969E0,-4.967693329E0,-4.169196129E0,7.921042442E-1
3.079380802E0,-4.977486610E0,-3.988483667E0,8.125549555E-1
3.089396735E0,-3.055889606E0,-2.769079208E0,1.259760499E0
