"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.791995160E1,6.498369680E1,2.552137535E1,2.052222746E1,7.699999809E-1,1.890000000E2,3.000000000E0,4.000000000E0
9.892207160E1,6.498368511E1,2.552136663E1,2.152221779E1,7.899999619E-1,1.938000031E2,2.500000000E0,4.000000000E0
9.993889520E1,6.498367379E1,2.552135557E1,2.152220878E1,7.400000095E-1,1.978999939E2,2.500000000E0,4.000000000E0
1.009216398E2,6.498366504E1,2.552134233E1,2.252220241E1,7.799999714E-1,2.016999969E2,2.500000000E0,4.000000000E0
1.019495262E2,6.498365565E1,2.552132967E1,2.352219539E1,8.399999738E-1,1.986999969E2,2.500000000E0,4.000000000E0
1.029448795E2,6.498364479E1,2.552131223E1,2.352218764E1,7.199999690E-1,2.066999969E2,3.000000000E0,4.000000000E0
1.039376992E2,6.498363578E1,2.552130067E1,2.352218083E1,7.500000000E-1,2.158000031E2,2.500000000E0,3.000000000E0
1.049631757E2,6.498362065E1,2.552128156E1,2.352216934E1,7.799999714E-1,2.170000000E2,2.500000000E0,4.000000000E0
1.059428698E2,6.498361365E1,2.552126211E1,2.352216542E1,7.299999595E-1,2.208000031E2,2.500000000E0,3.000000000E0
1.069321351E2,6.498360707E1,2.552125013E1,2.352216091E1,8.199999928E-1,2.201999969E2,3.000000000E0,4.000000000E0
1.079336300E2,6.498359781E1,2.552123210E1,2.352215471E1,8.799999952E-1,2.201000061E2,2.500000000E0,4.000000000E0
1.089352341E2,6.498358859E1,2.552122297E1,2.352214738E1,9.699999690E-1,2.175000000E2,2.500000000E0,4.000000000E0
1.099435196E2,6.498357422E1,2.552120252E1,2.252213678E1,1.069999933E0,2.190000000E2,2.500000000E0,4.000000000E0
1.109356873E2,6.498356567E1,2.552118600E1,2.252213104E1,7.999999523E-1,2.156000061E2,2.500000000E0,3.000000000E0
1.119359107E2,6.498355804E1,2.552117301E1,2.252212569E1,8.899999857E-1,2.143999939E2,2.500000000E0,3.000000000E0
1.129300118E2,6.498354798E1,2.552116103E1,2.252211796E1,9.199999571E-1,2.191999969E2,2.000000000E0,3.000000000E0
1.139279711E2,6.498353960E1,2.552115390E1,2.352211114E1,8.700000048E-1,2.203999939E2,2.000000000E0,3.000000000E0
1.149358601E2,6.498353151E1,2.552114435E1,2.352210492E1,8.700000048E-1,2.168000031E2,2.000000000E0,3.000000000E0
1.159357694E2,6.498352552E1,2.552114451E1,2.252209935E1,9.099999666E-1,2.186000061E2,2.000000000E0,3.000000000E0
1.169427775E2,6.498351655E1,2.552113253E1,2.152209263E1,8.199999928E-1,2.216000061E2,2.000000000E0,3.000000000E0
1.179440305E2,6.498350766E1,2.552112037E1,2.152208601E1,8.199999928E-1,2.168999939E2,2.500000000E0,3.000000000E0
1.189355317E2,6.498349907E1,2.552111266E1,2.152207908E1,8.100000024E-1,2.090000000E2,2.000000000E0,3.000000000E0
1.199563493E2,6.498348390E1,2.552111199E1,2.252206514E1,8.100000024E-1,2.021999969E2,2.000000000E0,3.000000000E0
1.209386833E2,6.498346844E1,2.552112071E1,2.252204969E1,8.599999547E-1,2.005000000E2,2.000000000E0,3.000000000E0
1.219291183E2,6.498345599E1,2.552110923E1,2.352203969E1,8.799999952E-1,2.021000061E2,2.500000000E0,3.000000000E0
1.229410068E2,6.498344803E1,2.552110319E1,2.352203311E1,8.100000024E-1,2.013000031E2,2.000000000E0,3.000000000E0
1.239265735E2,6.498343763E1,2.552109682E1,2.252202434E1,1.000000000E0,2.001000061E2,2.000000000E0,3.000000000E0
1.249371413E2,6.498342569E1,2.552109137E1,2.252201401E1,1.039999962E0,1.961000061E2,2.000000000E0,3.000000000E0
1.259302087E2,6.498341467E1,2.552108810E1,2.252200424E1,9.099999666E-1,1.960000000E2,2.000000000E0,3.000000000E0
1.269451896E2,6.498340566E1,2.552108383E1,2.252199647E1,9.599999785E-1,1.983999939E2,2.000000000E0,3.000000000E0
1.279421495E2,6.498339518E1,2.552107813E1,2.352198753E1,1.059999943E0,1.951000061E2,2.000000000E0,3.000000000E0
